Season,Start (UTC),End (UTC),Mode
S1,2023-04-11 16:00:00,2023-07-11 12:00:00,Base
S2,2023-07-11 16:00:00,2023-10-10 12:00:00,Base
S3,2023-10-10 16:00:00,2024-01-09 13:00:00,Base
S4,2024-01-09 17:00:00,2024-04-09 12:00:00,Base
S5,2024-04-09 16:00:00,2024-07-09 12:00:00,Base
S6,2024-07-09 16:00:00,2024-10-08 12:00:00,Base
S7,2024-10-08 16:00:00,2025-01-07 13:00:00,Base
S8,2025-01-07 16:45:00,2025-04-08 12:00:00,Base
S9,2025-04-08 16:00:00,2025-07-08 12:00:00,MW
S10,2025-07-08 15:30:00,2025-10-07 12:00:00,MW
S11,2025-10-07 16:00:00,2026-01-13 13:00:00,MW
S12,2026-01-13 17:00:00,2026-04-14 12:00:00,MW
S13,2026-04-14 14:00:00,2026-07-15 12:00:00,MW
