#,BGA Name,Rating
1,sorryimlikethis,2151
2,monkeydo,2056
3,Propaganda Panda,2054
4,Snowyowl Tale,2054
5,BDWSSBB,2053
6,paladin64,2051
7,Tsong Chen,2051
8,DaZaiErXia,2019
9,duyanhcao,2016
10,PectoralisM,2016
11,Aluap Tsai,2003
12,lx_xlO--lo_oQl,1996
13,LEOMessY10,1986
14,LightPTO,1985
15,tobiko11,1978
16,day001,1974
17,maxx12345,1967
18,Cat_Food,1965
19,bgtrainer,1962
20,knorpule3000,1961
21,Sanctuary L,1960
22,AD1NHO,1958
23,HighwayGoGo,1957
24,randale_und_hurra,1955
25,ALICE012,1952
26,Zeuthis,1951
27,human_light,1950
28,Please_No_Injury,1949
29,Abiath,1947
30,Hektorynka,1943
31,Faerch,1942
32,makamaru,1939
33,NowSituationChanged,1939
34,pppppdian,1939
35,e-p-e,1935
36,Gloriousbui,1934
37,Borden66,1934
38,deadpoolx01,1931
39,JDansp,1931
40,Yohan06,1931
41,portgard,1930
42,JoeÜbergang,1929
43,Bi6Wh4l3,1927
44,citazn,1925
45,Helbiii,1925
46,rudaZz,1924
47,RidingPanda,1923
48,Maro97,1922
49,Enotingyi,1921
50,alonemaster00,1919
51,demyurge,1919
52,ScientistOmni,1917
53,M_kk_k,1914
54,net395,1912
55,ryou-chan,1912
56,Fifty_grosz,1910
57,lenkuwang,1909
58,ThreadPacifist,1909
59,Chaussurettes,1908
60,Employee_427,1906
61,Hisbe4948,1906
62,a14xt7j,1904
63,Darcelmaw,1904
64,Arrigo II,1904
65,muramasa1207,1904
66,ooltje,1903
67,JohannesMoth,1903
68,linglinghu5678,1902
69,Rock_P,1901
70,f9216iolxryu,1900
71,luxusgerbiili,1897
72,Davylong,1896
73,DugongEnjoyer,1896
74,bsj551,1895
75,Echo_m,1895
76,Marintoro,1895
77,oneswordmantis,1894
78,FFFFranKiee,1893
79,BlanketAddict,1893
80,ceejaex,1892
81,skälding,1892
82,llxllx999,1892
83,esddse1,1891
84,biggetje,1891
85,Racer31,1890
86,SQR_PI,1889
87,wedidntplaytestthis,1888
88,huanggaoang,1888
89,TonyBegonia,1887
90,Malygos,1887
91,riptorius,1886
92,traine3g,1886
93,Window56,1886
94,ericsabee,1886
95,yuigahama1997,1884
96,Chandai15,1883
97,gh1101,1883
98,zhpls,1882
99,HeBwater,1881
100,Irui123,1880
