#,BGA Name,ID,Rating
1,Tsong Chen,94423370,2169
2,adjective-animalnum,99280522,2113
3,Propaganda Panda,94936862,2105
4,piggy slayer,99397090,2096
5,monkeydo,93896193,2081
6,sorryimlikethis,86346298,2071
7,BlanketAddict,90278947,2060
8,Wakaba Mutsumi,96569489,2056
9,extrazen,95137016,2046
10,KingLang,84667860,2039
11,Window56,94675560,2036
12,thumbean,91304283,2022
13,_Morgl_,99336083,2019
14,rudaZz,94569606,2018
15,pxdpxd,96516430,2013
16,Teh_Zealot,84017922,2010
17,electrolled,95115352,2008
18,skälding,94401618,2008
19,Lucasbiao,96656609,2007
20,GotsC,93392534,2005
21,The constant,96836394,2001
22,ceejaex,87105665,2000
23,goore,99206606,1998
24,QBert,2658233,1995
25,hardtounderstand,95740428,1995
26,SnubEnjoyer,98880953,1994
27,ykakai,98001580,1992
28,vuk246,97335860,1990
29,kanamiQ,98758840,1990
30,Emu At Dusk,99416006,1987
31,Boom Baboon,98705146,1987
32,Vios1,99396764,1986
33,duyanhcao,82653384,1985
34,Quantum Eagle,99331076,1984
35,trusting-seagull275,98175359,1982
36,Faerch,92121387,1978
37,NeighborPeterParker,97664557,1978
38,ceobo,95771863,1977
39,portgard,83927465,1977
40,SilkyTrealawson,98076232,1970
41,Chen233,89148114,1969
42,imma do a swim,99107137,1969
43,riptorius,93293963,1964
44,jackochow,96364530,1962
45,GenAaro,93702040,1961
46,Blyb,93875195,1960
47,sailfish19,99193008,1960
48,HappyCapybara065,99424571,1960
49,Viciow,96598822,1955
50,Vorima1,95186165,1955
51,demyurge,84428955,1952
52,Fifty_grosz,85665517,1950
53,Long0103,92102371,1950
54,human_light,92255273,1949
55,SimpleMuffin,98341606,1949
56,BS_,94623704,1948
57,ViciousCyclist,89020074,1947
58,Vault of Stars,99153239,1947
59,BaseSig,3936472,1946
60,TheNightMonkey,99255855,1946
61,LasagnaEater,98317590,1946
62,Evanescent,99181529,1944
63,3Dragons,95425150,1941
64,greed_is_good,98634951,1940
65,wuxuanwuyan,93308326,1939
66,AtarUltio,97419993,1938
67,rune_2002,84575319,1938
68,Pelirrojo1711,92166550,1937
69,Philo12,98915785,1936
70,sroconno,96754790,1936
71,bgtrainer,95397753,1935
72,lowexpectation,98437039,1935
73,noconstruction,98933194,1934
74,Yuno20220502,96222108,1931
75,Midashoood,96865593,1931
76,taobaixx,94756376,1930
77,mshjs,98087253,1930
78,Amaori Renako,99065017,1930
79,Khrikuli Is Robbed,97861035,1929
80,DugongEnjoyer,95424407,1929
81,cardshard,88843196,1927
82,Gunor,96919064,1925
83,ian0329,95010496,1923
84,vyr972,98823536,1923
85,hxf9762,96129948,1921
86,werfmark,46907093,1919
87,fudahuang,98077663,1919
88,mmuye,97702253,1918
89,bentudiaxue,91198519,1918
90,Annabellla,96734674,1918
91,MRCS1NG1L1NG,99169043,1917
92,gryteklut,98459851,1917
93,Te Araroa,97911385,1916
94,Jardine05,92653112,1916
95,icefacez,95424534,1916
96,Laaan,84170037,1915
97,nacl123,93041465,1915
98,parrotlover,97843327,1914
