#,BGA Name,Rating
1,trusting-seagull275,2190
2,duyanhcao,2143
3,Helbiii,2135
4,electrolled,2087
5,Propaganda Panda,2074
6,Yuyuan Grape,2061
7,mmuye,2057
8,NeighborPeterParker,2057
9,Window56,2055
10,The constant,2053
11,BlueJayy,2042
12,noconstruction,2042
13,wonderful-penguin221,2041
14,dreamzxr,2040
15,hardtounderstand,2036
16,sorryimlikethis,2034
17,Chen233,2033
18,PandaAtDawn,2027
19,cheiru,2025
20,human_light,2025
21,LiHua1,2025
22,lowexpectation,2021
23,SirL,2019
24,so0nii,2018
25,slayerlol99,2016
26,sailfish19,2016
27,skälding,2014
28,peaceful-penguin844,2008
29,traine3g,2008
30,Koudee,2005
31,MYGO SOYO,2005
32,SimpleMuffin,2004
33,zzzzzz444,2003
34,BraveCat123,2000
35,esddse1,1999
36,piggy slayer,1998
37,gryteklut,1997
38,nirv lucE,1997
39,Ghost____9527,1997
40,superpiggy11,1995
41,Ritter Karottelot,1993
42,KingLang,1988
43,Neil003,1987
44,beb222,1987
45,itayor,1984
46,phjztwxagxo5ga,1984
47,Grahamtasia,1983
48,New Zealand fur seal,1983
49,ACT_F,1982
50,China Native Penguin,1980
51,vuk246,1979
52,lonely_1sland,1978
53,Faerch,1977
54,LasagnaEater,1976
55,yanyusansheng,1976
56,Vios1,1976
57,thumbean,1975
58,Astrolog1st,1974
59,elephant542,1974
60,CatNONO,1973
61,MonkeyinAround6_9,1973
62,Fifty_grosz,1969
63,2win9,1968
64,cun guang,1968
65,Yuno20220502,1967
66,vinny_boy,1966
67,Hoodaumic,1964
68,Shirosaki Ei,1964
69,Zheng,1960
70,lidamiao,1957
71,Zuzannatuba,1957
72,bravetiaotiao,1957
73,Long0103,1956
74,hxf9762,1953
75,Teh_Zealot,1953
76,kehenba,1952
77,Footloop,1952
78,3Dragons,1951
79,bananasmoovie,1951
80,Viciow,1948
81,Mostrom,1948
82,abunai3000,1948
83,Leon Jing,1947
84,Crickert,1947
85,Emu At Dusk,1947
86,seowy,1945
87,QBert,1944
88,MonkeyinAround,1943
89,robgeibel,1943
90,hzp032,1942
91,EPOXIDATION,1941
92,wangxiaomei,1940
93,BaseSig,1939
94,PingisPongus,1938
95,HappyChild,1938
96,Gunor,1938
97,1621180014,1938
98,Papa Emeritus V,1936
99,2366439349,1933
100,Sasha Lefevre,1930
