#,BGA Name,Rating
1,JDansp,2102
2,Ender_Wiggin,2093
3,BDWSSBB,2058
4,GhSap,2057
5,Biubangboom,2037
6,Chen233,2017
7,BaseSig,2006
8,Davylong,2001
9,FFFFranKiee,2000
10,bing0924,2000
11,AD1NHO,1990
12,Employee_427,1989
13,dreamreader,1972
14,monkeydo,1965
15,M_kk_k,1965
16,hinekoko,1965
17,pppppdian,1961
18,csong99,1960
19,momononono,1959
20,oneswordmantis,1947
21,jimmygoodman,1945
22,SQR_PI,1937
23,sorryimlikethis,1935
24,Triplepigs,1931
25,Darcelmaw,1930
26,bbosoon,1929
27,momonnnomo,1928
28,zlorfik,1921
29,Tatsuya Endo,1921
30,chauq,1919
31,umegf,1917
32,ScientistOmni,1914
33,FFTQAzhe,1914
34,Tharsis15731,1910
35,nikonikosmile,1909
36,Marty7474,1907
37,tiawen,1906
38,Faerch,1905
39,CnPlayer,1904
40,asurabaster,1904
41,Yorshka_02,1903
42,generaf,1901
43,Kyshantry,1897
44,invoke,1894
45,King161,1891
46,mellonstrawberry,1887
47,DunDun715,1884
48,Churryendy,1883
49,naruseleon,1882
50,sboong,1880
51,BoardGameRookie,1880
52,TiamatUA,1876
53,Sageras0302,1875
54,Babbelbox,1874
55,elfstone,1873
56,arthorn_,1872
57,CircleDakkon,1869
58,MasterMystery,1869
59,ningan,1868
60,dwarvintime,1867
61,AkSap,1867
62,rezett,1867
63,vvvardy,1866
64,diw2,1865
65,deman13,1862
66,stmx0v0,1862
67,QueenDong,1861
68,hotaru78,1860
69,ArtEntre,1859
70,human_light,1858
71,Doburoi,1856
72,chouman1986,1854
73,fanrenkewei,1852
74,DengDeng,1852
75,xiaoshagua,1851
76,SilexSaxum,1851
77,magicmoose66,1851
78,nightwalker04,1849
79,Yohan06,1848
80,dingga11,1848
81,Lisu192,1848
82,Flipper007,1847
83,EastBird,1846
84,asdswsxs,1845
85,forist,1844
86,StemmyNug,1844
87,Pattern,1844
88,worldpeaceeeee,1843
89,Stan2137,1842
90,Lemmmmm,1842
91,davidb9,1839
92,Skinman,1838
93,ericsabee,1837
94,kevin5208df129494073,1837
95,Yugo030,1836
96,zuke9,1835
97,so king,1835
98,Cow 9505,1834
99,Andydoorc,1832
100,wc2drengen,1832
