#,BGA Name,ID,Rating
1,dwarvintime,94276826,2151
2,Brian Boitano,94409684,2092
3,Nosbig,95130583,2091
4,Darcelmaw,93481498,2066
5,monkeydo,93896193,2030
6,Employee_427,94319519,2010
7,JDansp,94308984,2008
8,wyz123456,91005094,2002
9,isenguard13,93310826,2001
10,sorryimlikethis,86346298,1982
11,Biubangboom,93368684,1976
12,DunDun715,94540720,1968
13,Davylong,86761110,1967
14,kimssk05,88340590,1962
15,Sa-tou,91540369,1961
16,M_kk_k,93584459,1956
17,MadCassowary,86539803,1956
18,BDWSSBB,93599262,1956
19,portgard,83927465,1953
20,alphabooo,94192009,1952
21,CnPlayer,91399941,1948
22,Triplepigs,85410533,1934
23,ALICE012,94544221,1933
24,Tharsis15731,94796767,1923
25,SQR_PI,94409075,1923
26,withoutx,94342222,1919
27,JoeÜbergang,86370496,1919
28,danitake,90017334,1918
29,hszhangqun,94566293,1911
30,neonlight70,95044801,1909
31,Lisu192,94120918,1908
32,Window114,94851126,1907
33,AD1NHO,94208849,1906
34,DaZaiErXia,91315943,1905
35,asterteam,94607213,1904
36,spewishan,95054884,1901
37,Doburoi,84038972,1901
38,Duci9,94929538,1899
39,simmadim,86220185,1899
40,hitman333,95095201,1899
41,kinkesiman,94896254,1899
42,nobody814,93561127,1897
43,human_light,92255273,1896
44,DaDaDaTou,85123309,1895
45,xiaoshagua,89475342,1892
46,fuyc,94109191,1888
47,edwinma,94883310,1886
48,Thornvalley,93322704,1884
49,Nuraxxt1ao,95222006,1883
50,Flipper007,94483287,1880
51,TaterTatCat,95065180,1880
52,JJuLL,94716893,1879
53,Hank-Man,88260393,1879
54,hotaru78,92790884,1878
55,Tarrs,94786622,1877
56,Golven,87614886,1876
57,randomronny974,92354598,1876
58,Stan2137,89587860,1874
59,Window56,94675560,1871
60,chaoji,28815332,1871
61,ypz840805,84785627,1869
62,deman13,92420655,1867
63,yunfeiyang90,92674329,1866
64,Enotingyi,93975261,1864
65,tiawen,91419235,1864
66,AvanNoeL,94363417,1863
67,buldozer,85270584,1860
68,csong99,94065245,1859
69,Melo763,85354585,1858
70,ryebone,84530249,1858
71,Propaganda Panda,94936862,1858
72,werfmark,46907093,1856
73,-_______________-,91255895,1853
74,rpinheiro,89123043,1853
75,AdamHorton,83877945,1852
76,Agatebeo,85223927,1849
77,ntjj3,94073311,1848
78,ghost dad,94770498,1848
79,donggone,92615273,1844
80,invoke,84062956,1844
81,zhang77,94380400,1844
82,Qernie,87128662,1844
83,sssTea,84316658,1842
84,Szymi,84979313,1842
85,StromSpirit,93992210,1841
86,Faerch,92121387,1841
87,fds,83870538,1841
88,SunYork,89979818,1841
89,SilexSaxum,88730461,1840
90,krysakv,87198331,1839
91,duyanhcao,82653384,1839
92,LDChen3112,94949724,1838
93,KFCVME61,95274370,1837
94,Preawwy,93579876,1836
95,cvv0202,95012652,1836
96,Marty7474,93152762,1835
97,gamez shuffler,90749143,1834
98,adysk,84503166,1834
99,Vintessence,87476913,1833
100,Shalaby,92411329,1833
101,milo324,93328793,1832
102,EL_STINK,95060631,1832
103,justlikett,84373025,1831
104,ceejaex,87105665,1831
105,yunge11,94315627,1831
106,yiengh,94562558,1829
107,zhongyandelunwu,94250514,1829
108,wnbeser,94624643,1829
109,Willjo22,88982662,1827
110,mint10,88425608,1827
111,Agentus,60242560,1826
112,hohighb2004,94336256,1825
113,jingji007,94306177,1825
114,banbeicha,94777803,1825
115,matan,85243514,1824
116,mmooomm,94096374,1824
117,Jalum,87821396,1823
118,COOList,85288480,1823
119,FalconPunch511,95069740,1823
120,ningan,94256160,1823
121,Seredic,94483785,1823
122,nimoac,84658502,1822
